_id,timestamp,uiVersion,user ID,userID,event,parameter,__v
64ecbaac422709a28eaef660,2023-08-28T15:18:04.543Z,1,1012,1012,level_of_difficulty,hardship_flag#4,0
64ecbaae422709a28eaef662,2023-08-28T15:18:06.296Z,1,1012,1012,change_acceptable_values,hardship_flag#Y,0
64ecbab8422709a28eaef664,2023-08-28T15:18:15.617Z,1,1012,1012,propose_new_plan_btn,@education#Bachelors#Prof-school@occupation#Prof-specialty#Exec-managerial@workclass#Self-emp-not-inc#Federal-gov@hardship_flag#N#Y@overalSatisfication5,0
64ecbaf4422709a28eaef666,2023-08-28T15:19:15.822Z,1,1012,1012,smily_interaction#5,@capital_gain#0#2965.231155778895@hours_per_week#50#61@occupation#Prof-specialty#Sales@workclass#Self-emp-not-inc#Federal-gov@hardship_flag#N#Y,0
64ecbafa422709a28eaef668,2023-08-28T15:19:22.556Z,1,1012,1012,keep_plan_button,@capital_gain#0#2965.231155778895@hours_per_week#50#61@occupation#Prof-specialty#Sales@workclass#Self-emp-not-inc#Federal-gov@hardship_flag#N#Y,0
64ecf9ba422709a28eaef66a,2023-08-28T19:47:06.669Z,1,1013,1013,session_started,"""clicked#1013""",0
64ecf9f7422709a28eaef66c,2023-08-28T19:48:07.800Z,1,1013,1013,request_plans_button,clicked,0
64ecfa5f422709a28eaef66e,2023-08-28T19:49:51.832Z,1,1013,1013,smily_interaction#4,@education#Assoc-voc#Prof-school@occupation#Prof-specialty#Exec-managerial@workclass#Private#Federal-gov@hardship_flag#N#Y,0
64ecfa8a422709a28eaef670,2023-08-28T19:50:34.971Z,1,1013,1013,level_of_difficulty,education#4,0
64ecfa8a422709a28eaef672,2023-08-28T19:50:35.069Z,1,1013,1013,level_of_difficulty,education#3,0
64ecfa8a422709a28eaef674,2023-08-28T19:50:35.077Z,1,1013,1013,level_of_difficulty,education#3,0
64ecfa8b422709a28eaef676,2023-08-28T19:50:35.854Z,1,1013,1013,level_of_difficulty,education#4,0
64ecfa8b422709a28eaef678,2023-08-28T19:50:36.487Z,1,1013,1013,level_of_difficulty,education#3,0
64ecfaa2422709a28eaef67a,2023-08-28T19:50:58.635Z,1,1013,1013,level_of_difficulty,education#4,0
64ecfaa5422709a28eaef67c,2023-08-28T19:51:02.267Z,1,1013,1013,level_of_difficulty,education#3,0
64ecfac1422709a28eaef67e,2023-08-28T19:51:30.310Z,1,1013,1013,level_of_difficulty,occupation#4,0
64ecfac6422709a28eaef680,2023-08-28T19:51:34.919Z,1,1013,1013,level_of_difficulty,workclass#2,0
64ecfaca422709a28eaef682,2023-08-28T19:51:39.215Z,1,1013,1013,level_of_difficulty,workclass#1,0
64ecfaff422709a28eaef684,2023-08-28T19:52:31.988Z,1,1013,1013,change_acceptable_values,education#Masters,0
64ecfb30422709a28eaef686,2023-08-28T19:53:20.964Z,1,1013,1013,change_acceptable_values,workclass#Local-gov,0
64ecfb4b422709a28eaef688,2023-08-28T19:53:47.628Z,1,1013,1013,propose_new_plan_btn,@education#Assoc-voc#Prof-school@occupation#Prof-specialty#Exec-managerial@workclass#Private#Federal-gov@hardship_flag#N#Y@overalSatisfication4,0
64ecfb77422709a28eaef68a,2023-08-28T19:54:32.246Z,1,1013,1013,smily_interaction#5,@capital_gain#0#2965.231155778895@education#Assoc-voc#Masters@hours_per_week#40#51@occupation#Prof-specialty#Exec-managerial@hardship_flag#N#Y,0
64ecfb89422709a28eaef68c,2023-08-28T19:54:49.843Z,1,1013,1013,keep_plan_button,@capital_gain#0#2965.231155778895@education#Assoc-voc#Masters@hours_per_week#40#51@occupation#Prof-specialty#Exec-managerial@hardship_flag#N#Y,0
64ecff16422709a28eaef68e,2023-08-28T20:09:59.194Z,2,1013,1013,session_started,"""clicked#1013""",0
64ecff27422709a28eaef690,2023-08-28T20:10:15.756Z,2,1013,1013,request_plans_button,clicked,0
64ed0020422709a28eaef692,2023-08-28T20:14:24.424Z,2,1013,1013,smily_interaction,#education#Bachelors#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Self-emp-not-inc#Federal-gov#application_type#Individual#Joint App#hardship_flag#N#Y#smily_value#4,0
